access,allow_homefeed_recommendations,archived_by_me_at,blocking_actions,board_order_modified_at,category,collab_board_email,collaborated_by_me,collaborator_count,collaborator_requests_enabled,cover_pin,createdAt,description,event_date,event_start_date,featured_board_metadata,featured_in,followed_by_me,follower_count,header,id,image_cover_url,is_ads_only,is_collaborative,is_featured_for_active_campaign,layout,map_id,modifiedAt,name,node_id,owner,pin_count,privacy,section_count,sectionless_pin_count,sensitivity_screen,should_show_board_collaborators,should_show_more_ideas,should_show_shop_feed,type,updatedAt,url,viewer_collaborator_join_requested,viewer_contact_request,eligible_pin_type_filters,images
[],True,,[],"Sun, 08 Oct 2023 21:52:50 +0000",,True,False,0,False,"{'image_signature': '2caf1b4e38db72ebdf3ac6189ae2911a', 'pin_id': '1002754673265232863', 'timestamp': 1688668509}",{},,,,,[],False,594,,1002754741971333350,https://i.pinimg.com/200x150/2c/af/1b/2caf1b4e38db72ebdf3ac6189ae2911a.jpg,False,False,False,default,pinterest.ijz1714i,{},Cake,Qm9hcmQ6MTAwMjc1NDc0MTk3MTMzMzM1MA==,"{'ads_only_profile_site': None, 'blocked_by_me': False, 'domain_url': None, 'first_name': 'Fitwaffle Kitchen', 'full_name': 'Fitwaffle Kitchen', 'id': '1002754810690305107', 'image_medium_url': 'https://i.pinimg.com/75x75_RS/e0/78/1f/e0781fb615483d80c09c01ce94f81b99.jpg', 'image_small_url': 'https://i.pinimg.com/30x30_RS/e0/78/1f/e0781fb615483d80c09c01ce94f81b99.jpg', 'image_xlarge_url': 'https://i.pinimg.com/280x280_RS/e0/78/1f/e0781fb615483d80c09c01ce94f81b99.jpg', 'indexed': True, 'is_ads_only_profile': False, 'is_partner': True, 'is_private_profile': False, 'is_tastemaker': False, 'is_verified_merchant': False, 'node_id': 'VXNlcjoxMDAyNzU0ODEwNjkwMzA1MTA3', 'type': 'user', 'username': 'EloiseHeadsss', 'verified_identity': {}}",19,public,0,19,"{'reason': None, 'show_warning': False}",True,False,False,board,{},/EloiseHeadsss/cake/,False,,,
[],True,,[],"Tue, 10 Mar 2026 07:33:25 +0000",food_drink,True,False,0,False,{},{},Board for Chicken Recipes,,,,[],False,428,,1006484285413946434,https://i.pinimg.com/150x150/a6/06/14/a60614ef8337284026cbfc2e37d37e2a.jpg,False,False,False,default,pinterest.ijz1714i,{},Chicken Recipes,Qm9hcmQ6MTAwNjQ4NDI4NTQxMzk0NjQzNA==,"{'ads_only_profile_site': None, 'blocked_by_me': False, 'domain_url': None, 'first_name': 'Elenas Best Recipes (Flirtyfood.com)', 'full_name': 'Elenas Best Recipes (Flirtyfood.com)', 'id': '1006484354131860004', 'image_medium_url': 'https://i.pinimg.com/75x75_RS/fb/71/41/fb71413512f8ca4b2ffbbecd7f449813.jpg', 'image_small_url': 'https://i.pinimg.com/30x30_RS/fb/71/41/fb71413512f8ca4b2ffbbecd7f449813.jpg', 'image_xlarge_url': 'https://i.pinimg.com/280x280_RS/fb/71/41/fb71413512f8ca4b2ffbbecd7f449813.jpg', 'indexed': True, 'is_ads_only_profile': False, 'is_partner': True, 'is_private_profile': False, 'is_tastemaker': False, 'is_verified_merchant': False, 'node_id': 'VXNlcjoxMDA2NDg0MzU0MTMxODYwMDA0', 'type': 'user', 'username': 'flirtyfood', 'verified_identity': {}}",216,public,0,216,"{'reason': None, 'show_warning': False}",True,False,False,board,{},/flirtyfood/chicken-recipes/,False,,,
[],True,,[],"Sun, 24 May 2026 03:06:07 +0000",,True,False,0,False,"{'image_signature': '03e12d9f957ea05eb61a8dac4e63e11e', 'pin_id': '1017180265851524440', 'timestamp': 1764174114}",{},"Easy dinner recipes ready in minutes. Find easy skillet meals, simple sheet-pan dinners, and time-saving dishes perfect for busy weeknights.",,,,[],False,9,,1017180334528789841,https://i.pinimg.com/200x150/03/e1/2d/03e12d9f957ea05eb61a8dac4e63e11e.jpg,False,False,False,default,pinterest.ijz1714i,{},Easy Dinners recipes,Qm9hcmQ6MTAxNzE4MDMzNDUyODc4OTg0MQ==,"{'ads_only_profile_site': None, 'blocked_by_me': False, 'domain_url': None, 'first_name': 'Home Cooking Made simple', 'full_name': 'Home Cooking Made simple', 'id': '1017180403246884275', 'image_medium_url': 'https://i.pinimg.com/75x75_RS/26/2a/90/262a90dc862ab4a5c399b6143f65c8aa.jpg', 'image_small_url': 'https://i.pinimg.com/30x30_RS/26/2a/90/262a90dc862ab4a5c399b6143f65c8aa.jpg', 'image_xlarge_url': 'https://i.pinimg.com/280x280_RS/26/2a/90/262a90dc862ab4a5c399b6143f65c8aa.jpg', 'indexed': True, 'is_ads_only_profile': False, 'is_partner': True, 'is_private_profile': False, 'is_tastemaker': False, 'is_verified_merchant': False, 'node_id': 'VXNlcjoxMDE3MTgwNDAzMjQ2ODg0Mjc1', 'type': 'user', 'username': 'HomeCookingMadesimple', 'verified_identity': {}}",95,public,0,95,"{'reason': None, 'show_warning': False}",True,False,False,board,{},/HomeCookingMadesimple/easy-dinners-recipes/,False,,,
[],True,,[],"Thu, 18 Dec 2025 19:27:23 +0000",,True,False,0,False,"{'image_signature': 'acd6ec37d81577f8788de2941879667c', 'pin_id': '1027242996264221888', 'timestamp': 1756512380}",{},,,,,[],False,1,,1027243064946096217,https://i.pinimg.com/200x150/ac/d6/ec/acd6ec37d81577f8788de2941879667c.jpg,False,False,False,default,pinterest.ijz1714i,{},Fresh & Easy Salads,Qm9hcmQ6MTAyNzI0MzA2NDk0NjA5NjIxNw==,"{'ads_only_profile_site': None, 'blocked_by_me': False, 'domain_url': None, 'first_name': 'Savor & Spice with Amelia', 'full_name': 'Savor & Spice with Amelia', 'id': '1027243133664275033', 'image_medium_url': 'https://i.pinimg.com/75x75_RS/fc/9f/ab/fc9fab294c58bc0214006b6c43c23a16.jpg', 'image_small_url': 'https://i.pinimg.com/30x30_RS/fc/9f/ab/fc9fab294c58bc0214006b6c43c23a16.jpg', 'image_xlarge_url': 'https://i.pinimg.com/280x280_RS/fc/9f/ab/fc9fab294c58bc0214006b6c43c23a16.jpg', 'indexed': True, 'is_ads_only_profile': False, 'is_partner': True, 'is_private_profile': False, 'is_tastemaker': False, 'is_verified_merchant': False, 'node_id': 'VXNlcjoxMDI3MjQzMTMzNjY0Mjc1MDMz', 'type': 'user', 'username': 'srsenlbrulll3byp', 'verified_identity': {}}",545,public,0,545,"{'reason': None, 'show_warning': False}",True,False,False,board,{},/srsenlbrulll3byp/fresh-easy-salads/,False,,,
[],True,,[],"Tue, 24 Feb 2026 02:17:24 +0000",,True,False,0,False,"{'image_signature': '91e01a98faa8b43e4a4f1d157b4372db', 'pin_id': '1028720739889114849', 'timestamp': 1748090111}",{},,,,,[],False,1,,1028720808573683344,https://i.pinimg.com/200x150/91/e0/1a/91e01a98faa8b43e4a4f1d157b4372db.jpg,False,False,False,default,pinterest.ijz1714i,{},Recipes to make,Qm9hcmQ6MTAyODcyMDgwODU3MzY4MzM0NA==,"{'ads_only_profile_site': None, 'blocked_by_me': False, 'domain_url': None, 'first_name': 'Genesis Gonzalez', 'full_name': 'Genesis Gonzalez', 'id': '1028720877291986577', 'image_medium_url': 'https://i.pinimg.com/75x75_RS/46/4d/f1/464df1500bb126ec872eaab73fb2d090.jpg', 'image_small_url': 'https://i.pinimg.com/30x30_RS/46/4d/f1/464df1500bb126ec872eaab73fb2d090.jpg', 'image_xlarge_url': 'https://i.pinimg.com/280x280_RS/46/4d/f1/464df1500bb126ec872eaab73fb2d090.jpg', 'indexed': True, 'is_ads_only_profile': False, 'is_partner': True, 'is_private_profile': False, 'is_tastemaker': False, 'is_verified_merchant': False, 'node_id': 'VXNlcjoxMDI4NzIwODc3MjkxOTg2NTc3', 'type': 'user', 'username': 'genesisgonzalez0004', 'verified_identity': {}}",861,public,0,861,"{'reason': None, 'show_warning': False}",True,False,False,board,{},/genesisgonzalez0004/recipes-to-make/,False,,,
[],True,,[],"Mon, 05 Sep 2022 12:40:00 +0000",,True,False,0,False,{},{},,,,,[],False,12302,,1029002283549285991,https://i.pinimg.com/150x150/ff/e0/3c/ffe03cbd9ff2b59d0c169a7b74beca81.jpg,False,False,False,quick_creates,pinterest.ijz1714i,{},Pins by you,Qm9hcmQ6MTAyOTAwMjI4MzU0OTI4NTk5MQ==,"{'ads_only_profile_site': None, 'blocked_by_me': False, 'domain_url': None, 'first_name': 'Vicky', 'full_name': 'Vicky', 'id': '1029002352268521628', 'image_medium_url': 'https://i.pinimg.com/75x75_RS/8b/ec/ac/8becac388a5ff18ce5a1fe7377e00a15.jpg', 'image_small_url': 'https://i.pinimg.com/30x30_RS/8b/ec/ac/8becac388a5ff18ce5a1fe7377e00a15.jpg', 'image_xlarge_url': 'https://i.pinimg.com/280x280_RS/8b/ec/ac/8becac388a5ff18ce5a1fe7377e00a15.jpg', 'indexed': True, 'is_ads_only_profile': False, 'is_partner': True, 'is_private_profile': False, 'is_tastemaker': False, 'is_verified_merchant': False, 'node_id': 'VXNlcjoxMDI5MDAyMzUyMjY4NTIxNjI4', 'type': 'user', 'username': 'inspiredby1Vicky1', 'verified_identity': {}}",143,public,0,143,"{'reason': None, 'show_warning': False}",True,False,False,board,{},/inspiredby1Vicky1/_quick_creates/,False,,,
[],True,,[],"Sun, 12 Oct 2025 23:48:28 +0000",food_drink,True,False,0,False,"{'image_signature': 'ea459dfdebbc51ad13200a5337c71f4d', 'pin_id': '1029494796084054797', 'timestamp': 1758639161}",{},,,,,[],False,26,,1029494864759746927,https://i.pinimg.com/200x150/ea/45/9d/ea459dfdebbc51ad13200a5337c71f4d.jpg,False,False,False,default,pinterest.ijz1714i,{},recipes,Qm9hcmQ6MTAyOTQ5NDg2NDc1OTc0NjkyNw==,"{'ads_only_profile_site': None, 'blocked_by_me': False, 'domain_url': None, 'first_name': 'Savannah Williams', 'full_name': 'Savannah Williams', 'id': '1029494933477960380', 'image_medium_url': 'https://s.pinimg.com/images/user/default_75.png', 'image_small_url': 'https://s.pinimg.com/images/user/default_30.png', 'image_xlarge_url': 'https://s.pinimg.com/images/user/default_280.png', 'indexed': True, 'is_ads_only_profile': False, 'is_partner': True, 'is_private_profile': False, 'is_tastemaker': False, 'is_verified_merchant': False, 'node_id': 'VXNlcjoxMDI5NDk0OTMzNDc3OTYwMzgw', 'type': 'user', 'username': 'bebeecharo', 'verified_identity': {}}",100,public,0,100,"{'reason': None, 'show_warning': False}",True,False,False,board,{},/bebeecharo/recipes/,False,,,
[],True,,[],"Wed, 24 Jun 2026 04:59:53 +0000",,True,False,0,False,"{'image_signature': 'd2d5af1675b9a686018ea32166fb50fc', 'pin_id': '1033224339498342772', 'timestamp': 1699191000}",{},,,,,[],False,19338,"{'cropping_info': {'crop_x': 0, 'crop_y': 399, 'height': 485, 'width': 735}, 'id': '2202076004254747840', 'image_signature': '3fd44fd31b13e9eb93e0435cd271252b', 'large_image_url': 'https://i.pinimg.com/474x/3f/d4/4f/3fd44fd31b13e9eb93e0435cd271252b.jpg', 'node_id': 'Qm9hcmRIZWFkZXI6MjIwMjA3NjAwNDI1NDc0Nzg0MA==', 'pin_id': '1033224339500655576', 'root_pin_id': '1033224339500655576', 'small_image_url': 'https://i.pinimg.com/236x/3f/d4/4f/3fd44fd31b13e9eb93e0435cd271252b.jpg', 'xlarge_image_url': 'https://i.pinimg.com/1200x/3f/d4/4f/3fd44fd31b13e9eb93e0435cd271252b.jpg'}",1033224408200368840,https://i.pinimg.com/200x150/d2/d5/af/d2d5af1675b9a686018ea32166fb50fc.jpg,False,False,False,default,pinterest.ijz1714i,{},Car - auto  🚗,Qm9hcmQ6MTAzMzIyNDQwODIwMDM2ODg0MA==,"{'ads_only_profile_site': None, 'blocked_by_me': False, 'domain_url': None, 'first_name': 'Sonia', 'full_name': 'Sonia S_C76', 'id': '1033224476919253322', 'image_medium_url': 'https://i.pinimg.com/75x75_RS/13/7c/06/137c0687b3ef3308aded857e7fee36e7.jpg', 'image_small_url': 'https://i.pinimg.com/30x30_RS/13/7c/06/137c0687b3ef3308aded857e7fee36e7.jpg', 'image_xlarge_url': 'https://i.pinimg.com/280x280_RS/13/7c/06/137c0687b3ef3308aded857e7fee36e7.jpg', 'indexed': True, 'is_ads_only_profile': False, 'is_partner': False, 'is_private_profile': False, 'is_tastemaker': False, 'is_verified_merchant': False, 'node_id': 'VXNlcjoxMDMzMjI0NDc2OTE5MjUzMzIy', 'type': 'user', 'username': 'dumbo_ferri', 'verified_identity': {}}",169,public,0,169,"{'reason': None, 'show_warning': False}",True,True,False,board,{},/dumbo_ferri/car-auto/,False,,,
[],True,,[],"Sat, 18 Jan 2025 12:07:51 +0000",,True,False,0,False,"{'image_signature': '2971b96e62e24ea730c657a08e563b8e', 'pin_id': '1055038650187232002', 'timestamp': 1686422424}",{},,,,,[],False,15,,1055038718895276884,https://i.pinimg.com/200x150/29/71/b9/2971b96e62e24ea730c657a08e563b8e.jpg,False,False,False,default,pinterest.ijz1714i,{},Keto dessert easy,Qm9hcmQ6MTA1NTAzODcxODg5NTI3Njg4NA==,"{'ads_only_profile_site': None, 'blocked_by_me': False, 'domain_url': None, 'first_name': 'Sandra', 'full_name': 'Sandra', 'id': '1055038787614248053', 'image_medium_url': 'https://s.pinimg.com/images/user/default_75.png', 'image_small_url': 'https://s.pinimg.com/images/user/default_30.png', 'image_xlarge_url': 'https://s.pinimg.com/images/user/default_280.png', 'indexed': True, 'is_ads_only_profile': False, 'is_partner': False, 'is_private_profile': False, 'is_tastemaker': False, 'is_verified_merchant': False, 'node_id': 'VXNlcjoxMDU1MDM4Nzg3NjE0MjQ4MDUz', 'type': 'user', 'username': 'kellersandra726', 'verified_identity': {}}",178,public,0,178,"{'reason': None, 'show_warning': False}",True,True,False,board,{},/kellersandra726/keto-dessert-easy/,False,,,
[],True,,[],"Thu, 18 Dec 2025 19:47:07 +0000",,True,False,0,False,"{'image_signature': 'b668f8219efde5c18e4dc18adc94df91', 'pin_id': '1060457043515946448', 'timestamp': 1756426131}",{},,,,,[],False,7,,1060457112197918584,https://i.pinimg.com/200x150/b6/68/f8/b668f8219efde5c18e4dc18adc94df91.jpg,False,False,False,default,pinterest.ijz1714i,{},Classic Dinner Recipes,Qm9hcmQ6MTA2MDQ1NzExMjE5NzkxODU4NA==,"{'ads_only_profile_site': None, 'blocked_by_me': False, 'domain_url': 'www.etsy.com', 'first_name': 'The Tasty Table with Grace', 'full_name': 'The Tasty Table with Grace', 'id': '1060457180916133253', 'image_medium_url': 'https://i.pinimg.com/75x75_RS/f4/f6/ef/f4f6ef2e7f2bbc4d679ed8fe2864fd15.jpg', 'image_small_url': 'https://i.pinimg.com/30x30_RS/f4/f6/ef/f4f6ef2e7f2bbc4d679ed8fe2864fd15.jpg', 'image_xlarge_url': 'https://i.pinimg.com/280x280_RS/f4/f6/ef/f4f6ef2e7f2bbc4d679ed8fe2864fd15.jpg', 'indexed': True, 'is_ads_only_profile': False, 'is_partner': True, 'is_private_profile': False, 'is_tastemaker': False, 'is_verified_merchant': False, 'node_id': 'VXNlcjoxMDYwNDU3MTgwOTE2MTMzMjUz', 'type': 'user', 'username': 'tyrenoproftpsy8a', 'verified_identity': {}}",632,public,0,632,"{'reason': None, 'show_warning': False}",True,False,False,board,{},/tyrenoproftpsy8a/classic-dinner-recipes/,False,,,
