id,name,description,url,image_cover_url,follower_count,section_count,pin_count,category,privacy,modifiedAt,owner_username,owner_full_name,owner_image_medium_url
1086704653776102837,Barcelona Shopping,"I share top tips and recommendations for Barcelona shopping, from local boutiques to well-known brands. Follow for fresh ideas and inspiration so you can find the best places to shop in Barcelona.",/splendidlyspain/barcelona-shopping/,https://i.pinimg.com/200x150/08/5f/7e/085f7e0ba21853239cb1b89c5fc88612.jpg,50,0,7,,public,2026-06-15 13:05:21,splendidlyspain,Splendidly Spain | Spain Travel Blog,https://i.pinimg.com/75x75_RS/47/7a/9c/477a9c639077074e929d33e1dd1e560e.jpg
836684505712752607,dessert,,/sirihjartholm/dessert/,https://i.pinimg.com/200x150/4d/83/c6/4d83c6cc1ef91034624a210b36f68105.jpg,0,0,8,food_drink,public,2025-10-02 07:52:46,sirihjartholm,Siri,https://s.pinimg.com/images/user/default_75.png
1006484285413946434,Chicken Recipes,Board for Chicken Recipes,/flirtyfood/chicken-recipes/,https://i.pinimg.com/150x150/a6/06/14/a60614ef8337284026cbfc2e37d37e2a.jpg,428,0,216,food_drink,public,2026-03-10 07:33:25,flirtyfood,Elenas Best Recipes (Flirtyfood.com),https://i.pinimg.com/75x75_RS/fb/71/41/fb71413512f8ca4b2ffbbecd7f449813.jpg
503558870774833504,recipes,,/shauser8/recipes/,https://i.pinimg.com/200x150/4c/d3/ad/4cd3ad71fd6f5e849663a12c9326c40c.jpg,4,0,112,food_drink,public,2026-06-04 03:31:58,shauser8,Sheri Makkos,https://s.pinimg.com/images/user/default_75.png
61432051106527214,Supper,,/lisaleblanc1/supper/,https://i.pinimg.com/200x150/c9/85/42/c98542e1530303e3e96b72f773d7e2c3.jpg,21,0,43,,public,2026-04-12 01:45:41,lisaleblanc1,Lisa Leblanc,https://i.pinimg.com/75x75_RS/24/b5/d7/24b5d7e27df028476fbe363fd1216b4d.jpg
1085649122614182823,"Easy Meals, Quick Recipes & Family Dinner Ideas","Easy meals, quick recipes, family dinner ideas, simple home cooking, and practical food inspiration for busy days. Perfect for saving flavorful, balanced dishes that feel approachable, comforting, and easy to make with everyday ingredients.",/asimonarisac/easy-meals-quick-recipes-family-dinner-ideas/,https://i.pinimg.com/200x150/99/c0/0c/99c00c958cb6560b5ad19173287bcd2d.jpg,13,0,1204,,public,2026-06-24 11:42:39,asimonarisac,"Meals, Easy Recipes & Everyday Home Cooking Ideas",https://i.pinimg.com/75x75_RS/f3/35/30/f3353065b72bd89a84fc4f3236cc6971.jpg
1129699956468554406,Recipes,,/dakewix/recipes/,https://i.pinimg.com/200x150/de/e2/77/dee2776df999bb5decaadd956475bca0.jpg,0,0,2700,food_drink,public,2026-06-23 03:08:43,dakewix,Sweet & Savory Delights,https://i.pinimg.com/75x75_RS/d2/eb/5b/d2eb5bacdd11750a6a45a1369389a46c.jpg
812196182738226314,Stephanie's Sweet Treats Recipes,These recipes come from the food blog stephaniessweetsblog.com. These are decadent dessert recipes that are easy to make. These dessert recipes are approved by the family. They can be easy baking or desserts for a party.,/stephaniesweettreats/stephanies-sweet-treats-recipes/,https://i.pinimg.com/custom_covers/200x150/812196182738226314_1598118900.jpg,25268,0,2370,food_drink,public,2026-05-30 22:24:56,stephaniesweettreats,Stephanie Sweet Treats,https://i.pinimg.com/75x75_RS/37/7b/4f/377b4f910852ffad3fe4e9b335c03ca9.jpg
766034286558061792,Asian Recipes,"Easy Asian recipes inspired by Vietnamese, Korean, Japanese, and Chinese flavors. Find weeknight dinners, noodles, rice dishes, and comforting meals you can make at home.",/takestwoeggs/asian-recipes/,https://i.pinimg.com/custom_covers/200x150/766034286558061792_1647913566.jpg,10782,0,2520,,public,2026-06-23 00:52:16,takestwoeggs,"Takes Two Eggs | Easy Recipes, Travel & Food Guides",https://i.pinimg.com/75x75_RS/27/c3/03/27c303ec8c5d3225c04c28f510afce08.jpg
198088152299567260,Appartement,,/hickone/appartement/,https://i.pinimg.com/200x150/de/cd/da/decdda6f29f6986ae68bde9def16994e.jpg,79,0,43,,public,2026-03-24 10:21:39,hickone,Tchuck Hickone,https://i.pinimg.com/75x75_RS/f6/d7/c4/f6d7c417a57af3c4b7c8ba4dabf96d56.jpg
